Left Knee Angle,Right Knee Angle,Left Ankle Angle,Right Ankle Angle
163.5977513838773,163.8272685763742,246.56473216626958,244.88543421551347
156.04562772454773,179.24919102927706,222.75425743410494,219.1714703571616
158.2380806295897,162.18632975560698,221.81078789569153,228.2416075488398
134.86454923693842,152.7764793591377,242.85622325731427,243.12644808411665
156.26285097787235,149.39742241675427,245.46004437746987,253.72062831334375
172.76848604230733,152.11243158712597,231.18916201176546,246.87116635001988
172.21711157552124,150.79456668816988,236.77527720223281,245.8146689926006
172.38583275808392,146.24785373247602,235.23546540283652,246.06723337556636
171.06496375007356,140.69161244433292,242.44948401923887,247.16741891742282
171.42098992835383,144.15080701358215,239.44305131166973,249.03060809910355
159.65722866390973,151.4393515088783,246.65414405339217,254.29624720752167
162.54649882696776,159.47704642924595,242.27079841373936,258.325292431887
167.6681551882793,166.13390629096656,236.12509609505378,245.287052925887
171.81774210086698,170.78923626537514,234.51743388650092,244.03530743411918
180.42947814775377,179.04231683454276,229.80768455938497,233.71588228465706
177.15410314515492,166.01482290782832,230.34846415016116,248.42345505581065
179.18154453831136,173.70318128101562,233.55205356071147,244.81997936940044
179.96935011843965,180.0,230.478796394175,237.68038349181978
182.30169858033236,177.90020827331892,237.24277324477583,242.28634750333543
180.08841934263873,177.7511109567467,238.74862642635878,243.3697447449755
176.0736837840459,177.42049309278926,239.87233332065338,242.3884973923682
173.85714742919373,177.09783594769428,244.90676157927547,237.4657016916215
172.34199953561347,180.72744082958172,250.31578567984982,238.25867511000325
176.88130800099745,177.6999109293102,252.9587318803517,240.00087209434238
173.26293881649315,178.7613653291031,254.7263569589155,240.7388014374494
178.48991165254438,184.80370061652337,255.42246076638253,239.5076299904612
174.92379258388263,182.30015353005643,258.2935632708467,242.14167732899082
173.83375039778687,175.3328025527959,260.34705565471296,244.55170452351953
172.31090840665584,175.24730933733488,259.761802333487,237.11796314277964
173.47975321529697,169.149850539473,259.7304164135183,241.6460358428189
169.22197182602844,172.68350656263647,260.08524765299717,241.10761836396594
170.58470184983577,179.84577985137153,257.92159301351745,239.78696750387405
161.35589668661,180.9771223258632,255.31619784574673,240.00891367665872
154.31868425653403,181.06867707565436,250.3742766156209,239.83939336176851
145.39671562495764,178.77909967811618,243.65788847411955,242.63922527018272
