Left Knee Angle,Right Knee Angle,Left Ankle Angle,Right Ankle Angle
180.09850832092062,169.25414277042213,247.47018045556797,253.36815445824612
175.6552393429705,169.35433665503967,-462.3270522374088,255.80327423950516
169.29321269211397,171.47883254734293,271.84304013124216,262.0091239670983
171.37877793497472,172.64226289930642,264.02492698465187,253.2005348444242
177.0614702858044,166.17915610802072,265.13095039593304,265.2824841768094
166.24309378776175,196.31270699040593,278.50170656510477,234.77349785596164
174.45609773995707,188.0167074564237,267.83551065761395,236.2569972498965
164.71267456648778,193.3307037207578,272.9993705313306,229.56852261867374
158.73901445579838,197.80497091167595,274.8629019386391,225.04227222157084
172.38160232510035,182.20926475103502,261.6846707925316,239.18968653845423
173.34197729823507,180.6713701270124,256.8685726307397,241.0692548447762
168.71356288245542,174.8055710922652,255.7619901348664,244.25040912290444
165.97251668482434,171.68286535976748,255.4435756799257,246.5249330969847
164.84660531478931,176.41026810106123,251.3173137660637,244.9410640373183
159.38532837924868,178.20538883746545,251.32866878810202,244.14430316901317
163.70325462093226,179.7354359439929,248.19859051364818,244.06265622817875
165.91999665720004,183.36133673395742,246.29829881347672,242.44942374551553
163.96005669395035,181.84216052296884,245.0154969786532,243.20586064405984
146.39317083605988,184.85415061601415,254.27576433475633,243.9475662947686
139.89909245378777,184.86756378869904,255.90425165458333,244.3041795095615
134.7070478136993,183.26428372401853,252.48878401934923,245.1517470342119
142.3072499253396,182.45527395999852,245.96423911621508,244.81660192822287
147.27928903256415,179.2079157725759,242.4546572598325,246.76633938850466
143.7139350538827,180.03480557201496,239.37000151517933,247.4925558134386
139.01794456732912,177.19061156864615,236.36212233010045,250.52969799053307
137.21645011392118,175.98652914137423,240.49780948106735,249.0938728870937
138.16395094681408,171.742979333123,243.23632778062856,252.7102383762595
142.10677509529555,171.4882948615753,237.64597682907646,253.58323100296343
151.26020470831196,170.21759296819272,235.30484646876602,254.19389389049084
160.8079315362338,177.10156281893592,249.35915072835613,228.8569864196265
168.76779827520315,175.60309863988786,253.1680454891488,229.85389993733278
176.52489394809757,179.60109235671035,248.0840056550992,247.0043473664265
181.2280752065303,180.44502789037654,240.85546253091024,242.9482411778851
184.25107567827027,178.47783177017453,244.8668209033544,249.55058635738826
184.48249024718808,181.62365563920486,244.79093347129637,240.81726387062852
182.6315332281782,179.31775503417992,250.57863640063707,249.710224688149
189.24811402635083,182.03155724062088,245.81219503679466,254.4121872386372
190.14259599526213,179.17167896561938,243.74465272288083,258.5332351600941
191.3878532475808,178.45652715624573,244.75254938777834,260.52636122496506
191.54127352982235,178.87135853800532,244.60991925475938,261.41846594991694
187.40818923030523,177.39185341354974,245.37051092425463,260.83599001389325
186.60120807653757,181.88062114136102,245.29700669456955,263.9374520265482
181.47889270988645,176.14639666554214,244.7123285805851,267.1541336760775
182.55196049953136,174.78601796036358,239.53392582349892,269.1865243261871
180.9420957677426,175.7565421754954,235.86347336046214,271.42897867887683
177.46770793072298,175.41346387593762,232.2077864764503,272.29697763095874
