Left Knee Angle,Right Knee Angle,Left Ankle Angle,Right Ankle Angle
100.39790250446951,65.64232531626678,-459.5051334923471,-473.38590158623055
43.05269362743911,30.237755158278592,-470.4328286793987,-481.5756299449677
-364.88906092750045,-363.86298287150504,-528.8155096452274,-564.3867526234692
43.6882465783776,51.2674814048493,215.07998703759796,216.86989764584402
-561.0375110254218,-489.1923843537732,108.43494882292201,-568.8426601354121
-527.8690843940169,-478.89697542432214,-586.5927780889774,-590.5004114702019
169.18037422659867,167.21329855081325,228.62595064428626,208.86027561393314
193.2904466296871,144.72461224605416,246.5862540689151,257.56444213558353
170.13834460534991,161.5526570943828,245.83171224025511,244.6706214130435
168.7359729979904,162.23612032904455,243.233436773172,258.6535136786522
170.5420188563554,157.21220766753694,236.66155251519262,261.9236150059646
170.4445761114477,159.99379012580366,237.3526357146335,258.6959724810772
172.0563961279711,159.34452666962298,237.3526357146335,262.01556649691713
172.20051719629336,154.5148831005328,240.7395911990081,264.45340853136696
173.0143434872572,155.56075863708074,242.55654743505283,263.4504186251915
173.54205517005062,151.10976858792492,242.36465070800764,260.92124213401104
174.86412885367787,152.98796434332178,239.77788773125448,254.73148570228614
174.80307034292937,147.4314564634732,240.1420297602231,259.50749042662915
174.56770327916033,134.08858707684757,241.80997246539724,258.38202081960753
176.41791049429025,141.14005630112973,238.46520809481174,248.175498019701
174.18648754134517,133.98972942357457,236.36616175314504,247.1268276042292
174.71755921139248,144.3539500533365,235.39756166431488,249.7052887586039
172.37892869070294,150.34116083984625,232.76516601842533,245.52974561012553
172.25163366481698,152.211142689274,234.2594996096919,242.40528987544687
170.17311142844068,149.82819417298947,235.82164043468728,229.25025937138236
166.79503946501976,148.64968972919405,240.02226947133516,235.61965527615513
168.93819678374558,151.3872363112837,233.10301642195702,226.87836587320632
171.27498510017395,156.2389590366839,234.72569167198932,232.51004236807043
172.71545175435025,152.0949410420223,228.03226497989624,245.45585910884074
172.59916760599123,147.9882035638805,230.9649040191769,249.5375451682115
174.73201836869626,161.79655756099118,239.56655773558282,239.72931321105486
174.05042760883902,160.30137862541972,237.24432256183184,239.43622597498518
173.3029617131701,163.75794409675512,238.55274625703623,241.27033149537928
173.0739725923435,166.01705491624696,235.8554390460318,256.35404872077925
168.13211754317015,160.0441328625284,241.48929609979018,250.37979035845558
174.96921554948776,161.91876032535203,243.3754130298144,252.19288748912095
170.184947044023,164.9733807162116,251.3969055717143,263.7044057443302
126.92369700481763,175.3370687456604,281.03947589435336,247.91990009453266
160.7224358162194,159.58619299932627,264.6254134464649,255.04718283984695
168.67549451541163,159.60733804744623,257.3206852665417,251.62507932813287
162.5725034895976,166.2398708966758,259.2544007119579,248.32756740929966
161.28826212490023,161.28707725881227,258.5201149141422,250.7924391754825
160.64855363462286,160.25632377381726,257.84677990166887,249.37794915327746
157.54515010298405,160.61530944627455,256.4154614979404,248.3181282139722
156.58686594437262,160.5057569778805,259.2854563649246,250.8698501551694
151.61664585847018,161.58282144231052,259.86642783442704,249.79977281432596
150.17342810859822,162.5131268932091,260.9331757231375,252.67492564022567
153.85555231526521,165.13171864150178,257.1285893577332,253.2173558547293
148.65571705030618,166.54813929617382,251.83286473121683,250.75239958282424
144.08887011457728,170.6202996951576,246.6410829812818,251.62181176657518
137.9098330424926,168.07919291240302,242.8892912295063,252.72657765543434
135.3452456569274,165.016767882793,238.7523160447734,255.09450374730508
137.53370382651818,164.65290512259233,234.72437229625595,256.1978789580631
130.09695203598716,163.38866723219118,237.62529223121828,255.79855290741688
127.22471225546941,163.1661566756118,236.5861357383472,256.03384129150817
133.6864679913458,162.75759835714547,240.14641952652875,256.4604348696461
137.9842413408238,160.7809506029084,244.02363026263723,260.1980834695145
144.2308621455156,163.09257661929092,240.6468339730733,260.1901251407558
152.31615565333334,160.941403615716,236.16539598347407,260.01621668858724
150.37523546526774,159.77921994976913,247.7802962314196,256.1670116570466
151.92634398747802,159.10724004458726,248.44085922133718,256.42999953570853
151.88906178466746,161.30540576396024,249.41056320292617,254.06627311763194
153.7281542223103,165.71677545125002,251.57882668429906,253.99664304703307
161.67744655632129,168.30090729068354,249.1229400761845,250.37922651241254
169.60928007646297,170.57202949178827,237.99525254282923,250.52663221985364
170.97414085556792,170.53767779197437,240.67409960574173,253.90235703620186
